Node,Node Name,Appear in
"('ILX:0793833', ())",ovarian nerve plexus parasympathetic ganglion,"ilxtr:sparc-nlp/mmset4/5
ilxtr:sparc-nlp/mmset4/4c
ilxtr:sparc-nlp/mmset4/4b
ilxtr:sparc-nlp/mmset4/4a"
"('ILX:0793832', ())",ovarian nerve plexus,"ilxtr:sparc-nlp/mmset4/5
ilxtr:sparc-nlp/mmset4/9"
"('ILX:0793814', ())",Intermediolateral nucleus of tenth thoracic segment,ilxtr:sparc-nlp/mmset4/7
"('ILX:0793699', ())",Intermediolateral nucleus of fourth thoracic segment,"ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/mmset1/11"
"('ILX:0793816', ())",Intermediolateral nucleus of twelfth thoracic segment,"ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/prostate/15"
"('ILX:0793815', ())",Intermediolateral nucleus of eleventh thoracic segment,"ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/prostate/15"
"('ILX:0793817', ())",Intermediolateral nucleus of thirteenth thoracic segment,"ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/prostate/15
ilxtr:sparc-nlp/prostate/11"
"('ILX:0793819', ())",Intermediolateral nucleus of second lumbar segment,"ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/prostate/15
ilxtr:sparc-nlp/semves/1
ilxtr:sparc-nlp/prostate/11"
"('ILX:0793818', ())",Intermediolateral nucleus of first lumbar segment,"ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/prostate/15
ilxtr:sparc-nlp/semves/1
ilxtr:sparc-nlp/prostate/11"
"('ILX:0793813', ())",Intermediolateral nucleus of ninth thoracic segment,"ilxtr:sparc-nlp/mmset4/8
ilxtr:sparc-nlp/mmset4/7"
"('ILX:0793811', ())",Intermediolateral nucleus of seventh thoracic segment,"ilxtr:sparc-nlp/mmset4/8
ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/mmset4/11
ilxtr:sparc-nlp/mmset4/12"
"('ILX:0793812', ())",Intermediolateral nucleus of eighth thoracic segment,"ilxtr:sparc-nlp/mmset4/8
ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/mmset4/11
ilxtr:sparc-nlp/mmset4/12"
"('ILX:0793821', ())",prevertebral sympathetic ganglion in abdominal aortic plexus,"ilxtr:sparc-nlp/mmset4/8
ilxtr:sparc-nlp/mmset4/7
ilxtr:sparc-nlp/mmset4/9"
"('ILX:0793883', ())",Dorsal gray commissure of second lumbar segment,ilxtr:sparc-nlp/prostate/11
"('UBERON:0035770', ())",inferior mesenteric nerve plexus,ilxtr:sparc-nlp/prostate/11
"('ILX:0793882', ())",Dorsal gray commissure of first lumbar segment,ilxtr:sparc-nlp/prostate/11
"('UBERON:0004243', ())",prostate gland smooth muscle,"ilxtr:sparc-nlp/prostate/12
ilxtr:sparc-nlp/prostate/16
ilxtr:sparc-nlp/prostate/25"
"('UBERON:0011926', ())",postganglionic sympathetic fiber,"ilxtr:sparc-nlp/prostate/12
ilxtr:sparc-nlp/prostate/16
ilxtr:sparc-nlp/semves/2a
ilxtr:sparc-nlp/semves/6
ilxtr:sparc-nlp/semves/2
ilxtr:sparc-nlp/prostate/25"
"('ILX:0793878', ())",Intermediolateral nucleus of first sacral segment,ilxtr:sparc-nlp/prostate/13
"('ILX:0793877', ())",Intermediolateral nucleus of sixth lumbar segment,ilxtr:sparc-nlp/prostate/13
"('UBERON:0000428', ())",prostate epithelium,"ilxtr:sparc-nlp/prostate/14
ilxtr:sparc-nlp/prostate/18"
